,Model,Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
0,ResNet50,0,0.9132396697115016,0.7293,0.3994322024672119,0.8685
1,ResNet50,1,0.3916892361751309,0.866,0.3816402437951829,0.8693
2,ResNet50,2,0.2624152434700065,0.909,0.1907537342442406,0.9328
3,ResNet50,3,0.2097545054844684,0.9253,0.2276187189585632,0.9213
4,ResNet50,4,0.1740668109625026,0.9406,0.1710346597350306,0.9409
5,ResNet50,5,0.1458178427898221,0.9494,0.1386991883759145,0.9506
6,ResNet50,6,0.1315589849823327,0.954,0.1555956942615685,0.9483
7,ResNet50,7,0.0729031484549934,0.9756,0.094102471201784,0.9681
8,ResNet50,8,0.0594450547490958,0.9813,0.0911293487361183,0.9702
9,ResNet50,9,0.0555828432466282,0.982,0.0900383115890953,0.9693
10,ResNet50,10,0.0496235258797942,0.9831,0.0879502167469925,0.9685
11,ResNet50,11,0.0490406385031356,0.983,0.0863908479790444,0.9711
12,ResNet50,12,0.0462039230255134,0.9849,0.0856861967690013,0.9711
13,ResNet50,13,0.0430128555699182,0.9851,0.0808076407125702,0.9728
14,ResNet50,14,0.0385028740239364,0.9865,0.0817526809464174,0.972
15,ResNet50,15,0.0386550227637161,0.9871,0.0800514913460722,0.9726
16,ResNet50,16,0.0383745358525602,0.9865,0.0826154425188347,0.9722
17,ResNet50,17,0.0381546834916635,0.9874,0.0802862446379192,0.9735
18,ResNet50,18,0.0379684011062124,0.987,0.079433508648675,0.9731
19,ResNet50,19,0.0361142742412199,0.9887,0.079906799821183,0.9728
20,MobileNetV3,0,1.2473324315194732,0.594,1.1475511598587036,0.6096
21,MobileNetV3,1,0.7232141515722981,0.7437,0.6099891512482255,0.7881
22,MobileNetV3,2,0.6079788032505248,0.7886,0.564041378542229,0.7963
23,MobileNetV3,3,0.5005272990023648,0.825,0.684294371869829,0.7781
24,MobileNetV3,4,0.4268946664752783,0.8519,0.4248306253662816,0.8502
25,MobileNetV3,5,0.3704764466981093,0.8714,0.3725097707245084,0.8654
26,MobileNetV3,6,0.3322990979254245,0.8836,0.349115369938038,0.8748
27,MobileNetV3,7,0.2474216653268646,0.9125,0.2103278453482522,0.9276
28,MobileNetV3,8,0.2263676251057121,0.9203,0.2096196946832868,0.9283
29,MobileNetV3,9,0.2245901010213075,0.9212,0.194518952253792,0.9339
30,MobileNetV3,10,0.2243030497293781,0.9219,0.191930632867195,0.9309
31,MobileNetV3,11,0.2158323096070024,0.923,0.190425015632753,0.9315
32,MobileNetV3,12,0.2112281426704592,0.9259,0.1949561950674763,0.9317
33,MobileNetV3,13,0.2053438290650094,0.9276,0.1840697754091686,0.935
34,MobileNetV3,14,0.1993758239459108,0.9295,0.1821259425083796,0.9348
35,MobileNetV3,15,0.1969863810542005,0.9318,0.182329265916789,0.9357
36,MobileNetV3,16,0.1979606935823405,0.9299,0.1798023769369831,0.9378
37,MobileNetV3,17,0.1885084652017664,0.9343,0.1812857395741674,0.9354
38,MobileNetV3,18,0.1924615736360903,0.9335,0.1806279457056964,0.9369
39,MobileNetV3,19,0.1995200082549342,0.9287,0.1811480859253141,0.9354
40,GoogLeNet,0,0.6766437430072714,0.8101,0.2724139838031045,0.9115
41,GoogLeNet,1,0.3733351149823931,0.8844,0.3562906169449841,0.8889
42,GoogLeNet,2,0.229864798138539,0.9249,0.1566496287120713,0.9483
43,GoogLeNet,3,0.2018901967533208,0.9335,0.1601170263687769,0.9478
44,GoogLeNet,4,0.1692243798339256,0.9444,0.1884851483503977,0.943
45,GoogLeNet,5,0.1474297650006634,0.9512,0.1243130212801474,0.9589
46,GoogLeNet,6,0.1279576736398869,0.957,0.1842738116780916,0.9346
47,GoogLeNet,7,0.0752926466282871,0.9762,0.0688468737845067,0.9781
48,GoogLeNet,8,0.0595868355554908,0.9812,0.0657204506684232,0.9787
49,GoogLeNet,9,0.0572154721276213,0.981,0.0634874597798895,0.9791
50,GoogLeNet,10,0.0530246393279069,0.9827,0.064626848772858,0.9783
51,GoogLeNet,11,0.0516623725668803,0.9826,0.066748341417147,0.9776
52,GoogLeNet,12,0.0432307292076897,0.9849,0.0655028056256749,0.9778
53,GoogLeNet,13,0.0458283159315275,0.9848,0.0656536055307973,0.9785
54,GoogLeNet,14,0.0428365968432518,0.9852,0.0628369204665499,0.9811
55,GoogLeNet,15,0.0407119642028205,0.9859,0.0632833624617369,0.9813
56,GoogLeNet,16,0.0411318022106705,0.9859,0.0632649524399527,0.9802
57,GoogLeNet,17,0.0396456669498648,0.9871,0.0631243238442887,0.9791
58,GoogLeNet,18,0.0406089441098824,0.9866,0.0626287962748082,0.98
59,GoogLeNet,19,0.0400814455178462,0.9875,0.0635186861855564,0.9796
